participant_id,block,block_idx,trial,vblack_prop,stimulus,auto_on,aid_accuracy_setting,aid_label,aid_correct,response,rt_s,correct,feedback
1,CALIBRATION,1,1,0.29219771254578053,WHITE,0,NA,NA,NA,WHITE,4.826626206999208,TRUE,CORRECT
1,CALIBRATION,1,2,0.3064613593414903,WHITE,0,NA,NA,NA,WHITE,2.813486084000033,TRUE,CORRECT
1,CALIBRATION,1,3,0.6922425224902788,BLACK,0,NA,NA,NA,BLACK,2.661717837001561,TRUE,CORRECT
1,CALIBRATION,1,4,0.3102214034112538,WHITE,0,NA,NA,NA,WHITE,2.4591753860004246,TRUE,CORRECT
1,CALIBRATION,1,5,0.6659566444447544,BLACK,0,NA,NA,NA,BLACK,1.678057658000398,TRUE,CORRECT
1,CALIBRATION,1,6,0.3544703162497315,WHITE,0,NA,NA,NA,WHITE,2.548675576001187,TRUE,CORRECT
1,CALIBRATION,1,7,0.3551477663252748,WHITE,0,NA,NA,NA,WHITE,2.5402525200006494,TRUE,CORRECT
1,CALIBRATION,1,8,0.369050156295927,WHITE,0,NA,NA,NA,WHITE,2.4574404769991816,TRUE,CORRECT
1,CALIBRATION,1,9,0.6173040373260786,BLACK,0,NA,NA,NA,BLACK,1.7249921650000033,TRUE,CORRECT
1,CALIBRATION,1,10,0.6232267353210514,BLACK,0,NA,NA,NA,BLACK,1.665950247001092,TRUE,CORRECT
1,CALIBRATION,1,11,0.6099668150607681,BLACK,0,NA,NA,NA,BLACK,2.4202796350000426,TRUE,CORRECT
1,CALIBRATION,1,12,0.40124836912193246,WHITE,0,NA,NA,NA,WHITE,2.6641946060008195,TRUE,CORRECT
1,CALIBRATION,1,13,0.6009233836322814,BLACK,0,NA,NA,NA,BLACK,1.1272935190008866,TRUE,CORRECT
1,CALIBRATION,1,14,0.4279326432691884,WHITE,0,NA,NA,NA,WHITE,2.79779107000104,TRUE,CORRECT
1,CALIBRATION,1,15,0.5647684642152943,BLACK,0,NA,NA,NA,BLACK,1.89465245700012,TRUE,CORRECT
1,CALIBRATION,1,16,0.5724909889683315,BLACK,0,NA,NA,NA,BLACK,1.8936149370001656,TRUE,CORRECT
1,CALIBRATION,1,17,0.5588304728961061,BLACK,0,NA,NA,NA,BLACK,2.636415017001127,TRUE,CORRECT
1,CALIBRATION,1,18,0.5661726593820393,BLACK,0,NA,NA,NA,BLACK,2.1663043509997806,TRUE,CORRECT
1,CALIBRATION,1,19,0.5389470771450985,BLACK,0,NA,NA,NA,BLACK,3.3957448140008637,TRUE,CORRECT
1,CALIBRATION,1,20,0.5461863996120997,BLACK,0,NA,NA,NA,BLACK,2.055392717998984,TRUE,CORRECT
1,CALIBRATION,1,21,0.5305091902777831,BLACK,0,NA,NA,NA,WHITE,2.491131497999959,FALSE,INCORRECT
1,CALIBRATION,1,22,0.5563061253481105,BLACK,0,NA,NA,NA,BLACK,2.589695946000574,TRUE,CORRECT
1,CALIBRATION,1,23,0.4388137650963592,WHITE,0,NA,NA,NA,WHITE,1.7603574029999436,TRUE,CORRECT
1,CALIBRATION,1,24,0.5374629045323703,BLACK,0,NA,NA,NA,BLACK,2.8746496149997256,TRUE,CORRECT
1,CALIBRATION,1,25,0.4455075588767399,WHITE,0,NA,NA,NA,WHITE,2.494288529000187,TRUE,CORRECT
1,CALIBRATION,1,26,0.5207781074900565,BLACK,0,NA,NA,NA,WHITE,5.899862895999831,FALSE,INCORRECT
1,CALIBRATION,1,27,0.4241077303130145,WHITE,0,NA,NA,NA,WHITE,1.294616461998885,TRUE,CORRECT
1,CALIBRATION,1,28,0.5622846636088453,BLACK,0,NA,NA,NA,BLACK,1.5693776110001636,TRUE,CORRECT
1,CALIBRATION,1,29,0.4479850614488735,WHITE,0,NA,NA,NA,WHITE,3.380620992000331,TRUE,CORRECT
1,CALIBRATION,1,30,0.45252029634141056,WHITE,0,NA,NA,NA,WHITE,5.546466826001051,TRUE,CORRECT
1,CALIBRATION,1,31,0.4520064869927362,WHITE,0,NA,NA,NA,WHITE,2.2716041180010507,TRUE,CORRECT
1,CALIBRATION,1,32,0.5226161224759266,BLACK,0,NA,NA,NA,WHITE,3.60576804899938,FALSE,INCORRECT
1,CALIBRATION,1,33,0.4402433392839412,WHITE,0,NA,NA,NA,WHITE,2.8327912370004924,TRUE,CORRECT
1,CALIBRATION,1,34,0.5731012929561489,BLACK,0,NA,NA,NA,BLACK,1.2750123410005472,TRUE,CORRECT
1,CALIBRATION,1,35,0.5525401103492099,BLACK,0,NA,NA,NA,BLACK,4.063476543999059,TRUE,CORRECT
1,CALIBRATION,1,36,0.5434802652895852,BLACK,0,NA,NA,NA,BLACK,2.3301271250002173,TRUE,CORRECT
1,CALIBRATION,1,37,0.536960014511877,BLACK,0,NA,NA,NA,BLACK,1.807859796001139,TRUE,CORRECT
1,CALIBRATION,1,38,0.4899488639290488,WHITE,0,NA,NA,NA,BLACK,3.571536483001182,FALSE,INCORRECT
